New Account No,New Engagement ID,New Opportunity Name,Est Completion Month ID,Product Category,Opportunity Stage,Est Opportunity Value
00000116746,9-QA2P935,Phase - 5: Grow shareholder value,115,Services,Stage - 2,75000
00000131746,8-QA2P795,Phase - 7: Grow earnings per share,120,Support,Stage - 1,20000
00001118747,7-QA2P921,Phase - 6: Increase revenue,118,Labour,Stage - 5,35000
00001163747,6-QA2P981,Phase - 5: Manage cost,112,Project,Stage - 2,35000
00002125748,7-CXOG837,Phase - 4: Maintain appropriate financial leverage,117,Services,Stage - 4,5000
0000313-251,7-FOX3693,Phase - 3: Ensure favorable bond ratings,120,Support,Stage - 0,5000
00003147749,7-CKBY971,Phase - 1: Balance the budget,120,Labour,Stage - 2,50000
0000315-251,8-CKBY947,Phase - 1: Ensure financial sustainability,117,Project,Stage - 1,10000
00004121750,5-CKBY906,Phase - 6: Maintain profitability,113,Services,Stage - 4,7000
00004167750,5-CKBY604,Phase - 5: Diversify and grow revenue streams,120,Support,Stage - 4,10000
00005121751,7-CKBY840,Phase - 5: Best value for the cost,118,Labour,Stage - 0,10000
00006147752,7-CKBY705,Phase - 6: Broad product offering,118,Project,Stage - 3,20000
00007131753,5-BYNF955,Phase - 1: Reliable products/services,118,Labour,Stage - 1,20000
00007148753,9-BYNF823,Phase - 3: Cross-sell more products,112,Project,Stage - 3,20000
00009115755,9-BYNF761,Phase - 4: Increase share of market,110,Services,Stage - 1,10000
0001013-244,8-UDB6757,Phase - 5: Increase share of wallet,110,Labour,Stage - 5,10000
00013116759,7-UDB6654,Phase - 2: Partner with customers to provide solutions,118,Project,Stage - 4,10000
00013137759,6-UDB6625,Phase - 1: Best service,117,Services,Stage - 5,10000
00014122760,7-DQO7874,Phase - 4: Understands my needs,115,Project,Stage - 1,4000
00014137760,6-DQO7825,Phase - 1: Most innovative products/services,112,Services,Stage - 5,10000
00015115761,9-DQO7557,Phase - 7: Differentiate the product,110,Support,Stage - 3,20000
00015154761,6-VGE6847,Phase - 6: Invest a certain amount in innovation,116,Labour,Stage - 3,10000
0001516-239,7-VGE6662,Phase - 4: Grow percentage of sales from new products,119,Project,Stage - 2,10000
0001711-237,7-VGE6951,Phase - 2: Improve or focus research and development (R&D),113,Project,Stage - 3,10000
00019121765,5-VGE6780,Phase - 1: Acquire new customers from innovative offerings,115,Services,Stage - 0,10000
00019137765,5-LP3Z573,Phase - 6: Great customer service,116,Project,Stage - 3,20000
00020115766,8-G27B959,Phase - 3: Improve customer service,117,Services,Stage - 2,1500
00021142767,8-G27B862,Phase - 2: Invest in customer management,113,Project,Stage - 1,9000
00024117770,6-G27B809,Phase - 6: Partner with customers to design solutions,117,Services,Stage - 2,3000
0002413-230,9-LNG7984,Phase - 6: Improve customer satisfaction,112,Project,Stage - 3,25000
00024148770,5-YJAB996,Phase - 6: Improve customer retention,119,Services,Stage - 1,50000
0003112777,6-2NIT807,Phase - 5: Develop and use a customer database,109,Services,Stage - 2,15000
00031147777,8-R4UC787,Phase - 4: Reduce cost by a certain amount annually,114,Support,Stage - 2,10000
00032138778,9-B2DG984,Phase - 6: Reduce waste by a certain amount,115,Labour,Stage - 2,30000
0003317779,8-RAJF568,Phase - 6: Invest in Total Quality Management,112,Project,Stage - 4,5000
0003414-220,9-OIPV867,Phase - 1: Reduce error rates,111,Services,Stage - 1,5000
